1,2,3,4,5,Mt,Pt
ContextFold,0.5506990452193672,0.5591033615118506,0.5572376902664291,0.5571541160057903,0.5439289700185763,0.5549411141492632,0.8680369535054031
ContraFold,0.5609069260776449,0.5572715298231121,0.5623009290614667,0.5628538842666718,0.5559267262987772,0.5715845119235464,0.8803463930766257
EternaFold,0.56569115626277,0.5674036211501745,0.5701674200041246,0.5716249631211022,0.5610788383377362,0.5655351532472308,0.8781614100654369
IPKnot,0.572682946736633,0.5703576355863242,0.5763215240398615,0.5749056315275577,0.5639381349567585,0.4542761753761984,0.8715071048302009
MXFold,0.5582085507463511,0.560111513834118,0.569036620602195,0.5673615781864297,0.5579653540458894,0.4917868969399966,0.8647643382843164
MXFold2,0.5630121908998399,0.5611566801847703,0.5666863331074962,0.5669501409895965,0.5547642831962092,0.6329402252313568,0.8696188746888442
NUPACK,0.555145839197708,0.5546293953800698,0.5597829234532326,0.5552888823677345,0.5468971297086695,0.5746255813667492,0.8745819340374391
NeuralFold,0.5326361150879672,0.5334979596544366,0.5407076497618589,0.5342719372028041,0.5292835771947665,0.48414251864357294,0.8725100590761534
RNAFold,0.55199694266804,0.5499072985124098,0.5554137037756247,0.5567339141274834,0.5482822734279472,0.4985295905754791,0.8739377457733165
RNAStructure,0.5520669443826165,0.5514260747984738,0.5544742781859907,0.5542037721308084,0.542722770237943,0.5431948453440466,0.8725970935946505
SPOT-RNA,0.574876633449108,0.5769422468617466,0.5810232157620876,0.5818379666042423,0.574394376257968,0.5562937780269198,0.8759042788994128
Simfold,0.5500220647197638,0.5585438504372409,0.5497320370045569,0.5530324249560169,None,0.5567827311228147,0.8701090005842143
pKnots,0.5526759939010646,0.5535325315903866,0.5591407329300342,0.5586770543888755,None,None,0.8722998733931907
