	bprna	eterna_data	rasp_data_arabidopsis	rasp_data_covid	rasp_data_ecoli	rasp_data_hiv	rasp_data_human	ribonanza	rnandria_pri_miRNA	rnandria_human_mRNA	ydata	bpRNA	
ContextFold	0	0.7374	0.6262254868270332	0.6552375	0.8918207637231504	0.6470011764705882	0.9194744338149161	0.6753	0.6802	0.6823	0.9032	1.0	
ContraFold	0	0.7546	0.6736285055982938	0.7395694444444445	0.9207229723070858	0.6876260416666667	0.9598907582948009	0.7128	0.6915	0.7078	0.938	0.5943	
EternaFold	0	0.7583	0.6736285055982938	0.7488833333333333	0.9207229723070858	0.6901281250000001	0.9598939288512518	0.7135	0.6999	0.7222	0.9308	0.5802	
IPKnot	0	0.7548	0.6736285055982938	0.7330666666666666	0.9207229723070858	0.6805385416666666	0.9598659630007023	0.7073	0.6933	0.6889	0.923	1.0	
MXFold	0	0.7484	0.6736285055982938	0.7185999999999999	0.9207229723070858	0.6927500000000001	0.9599076138010547	0.7001	0.6918	0.7001	0.9321	0.9831	
MXFold2	0	0.7557	0	0	0	0	0	0	0	0	0.9276	
RandomPredictor	0	0.7026	0.6736285055982938	0.7099972222222222	0.9207229723070858	0.6720666666666667	0.9598907420563555	0.7028	0.6567	0.6621	0.8504	0.3255	
RNAStructure	0	0.7491	0.6736285055982938	0.7160027777777778	0.9180268064063768	0	0.9584007092198582	0	0.6944	0.6903	0.931	0.7931	
RNAFold	0	0.7502	0.6736285055982938	0.7157472222222222	0.9207229723070858	0.6695937500000001	0.9598760746806101	0.7043	0.6965	0.6941	0.936	0.5561	
SeqFold	0	0.6281	0.48038870967741937	0	0.6924619047619048	0	0.4797782978723404	0.6467	0.6329	0	0.6932	0.5556	
